id,description
4767053,"Martín Vizcarra sobre el inicio de investigación en el equipo especial: “Respetamos lo que decidan”-El presidente Martín Vizcarra dijo respetar “lo que se decida en el Ministerio Público” respecto a quién lo investigará por el presunto delito de corrupción de funcionarios en el marco de la concesión de la obra Lomas de Ilo cuando era gobernador regional de Moquegua."
1377832,"¿Por qué el 2020 fue nombrado como el “Año de la universalización de la salud”?-Conoce aquí las razones detrás de la elección del nombre del año 2020; así como las metas planteadas por el Estado con respecto a las políticas de salud."
1256267,"Martín Vizcarra afirma que se quedará en el Perú al culminar su mandato | VIDEO-El presidente de la República, Martín Vizcarra, aseguró que se quedará en el Perú al terminar su mandato, luego de revelarse pagos de presuntos sobornos por más de S/ 2 millones cuando era gobernador regional de Moquegua."
6098684,"Equipo especial abre investigación preliminar a Martín Vizcarra por el caso Obrainsa-El fiscal Germán Juárez, miembro del equipo especial Lava Jato, abrió investigación preliminar contra el presidente de la República, Martín Vizcarra, el dueño de la empresa Obras e Ingenierías S.A. (Obrainsa), Elard Tejeda Moscoso, y otros por el presunto delito de corrupción de funcionarios. El Comercio tuvo acceso al oficio N°01-2020, en el que Juárez ha informado al fiscal superior Rafael Vela, el último viernes 16, el inicio de esta pesquisa “por cohecho y colusión en agravio del Estado”."
8655642,"Promoverán ejecución de proyectos de inversión pública y privada por 5.732 millones de soles-Durante el periodo 2020-2021. De esta forma, se concretarán en todo el país parques industriales, mercados de abastos, CITE, entre otros."
7447503,"Caso Richard Swing: PJ evaluará este miércoles prisión preventiva contra cuatro investigados-La jueza Sonia Bazalar, titular del Primer Juzgado de Investigación Preparatoria, evaluará este miércoles 21 -desde las 3 de la tarde- la solicitud de nueve meses prisión preventiva contra Mirian Morales, ex secretaria general de la Presidencia; Óscar Vásquez Zegarra, ex asesor del mandatario Martín Vizcarra; Liliana Chanamé, exdirectora de la Oficina de Recursos Humanos del Ministerio de Cultura (MINCUL); y el cantante Richard Cisneros."
3865791,"Sao Paulo vs. Binacional EN VIVO: horario y canales del partido por la Copa Libertadores-VER EN VIVO Sao Paulo vs. Binacional ONLINE por la fecha 6 de la Copa Libertadores 2020 en el estadio Morumbí. Transmisión de ESPN."
3841541,"Juan Romagnoli volvió a entrenar en Cienciano del Cusco-El equipo imperial va recuperando jugadores para afrontar la Fase 2 del campeonato peruano. El volante argentino fue baja importante en casi todo el reinicio del torneo."
8330067,"Deportivo Binacional cierra campaña en Copa Libertadores este martes 20-En el último lugar del grupo D y con 20 goles en contra, Binacional protagonizará un encuentro con Sao Paulo de Brasil desde las 7.30 p. m."
9124920,"Forsyth sobre Restauración Nacional: “Soy parte de otra generación, vamos a cambiar la ideología”-El exalcalde de La Victoria, asimismo, señaló que ocupar los primeros lugares en la intención de voto influyó en su decisión de postular a la presidencia."
9370932,"Edgar Alarcón señala que intento de vacar a Martín Vizcarra es “para que diga su verdad”-El legislador de UPP, investigado por presunta corrupción, sostuvo que la moción para destituir a Martín Vizcarra, en medio de la pandemia, se presentará en la tarde de este lunes."
4623903,"Congreso aprueba cambio de nombre y enfoque al Ministerio de Agricultura-En un plazo no mayor a 60 días el sector pasará a denominarse como Ministerio de Desarrollo Agrario y Riego. Se estableció que en un plazo no mayor a 180 días se establezca un plan de fortalecimiento a las Direcciones Regionales Agrarias."
2293942,"Copa Libertadores 2020 EN VIVO: Programación, GUÍA TV y tabla de posiciones-Esta semana se cierra la fase de grupos de la Copa Libertadores 2020. Alianza intentará meterse a la Sudamericana, mientras que cuatro excampeones buscarán los octavos de final."
8767797,"Martín Vizcarra: Keiko Fujimori “me ofreció ser parte de su equipo” en el 2015, pero no acepté-El presidente de la República, Martín Vizcarra, dijo que antes de las elecciones presidenciales del 2016, la lideresa de Fuerza Popular, Keiko Fujimori, le ofreció ser parte de su agrupación política, algo que rechazó en aquella oportunidad."
7883233,"Dictamen de la Comisión de Relaciones Exteriores recomienda archivar el Acuerdo de Escazú-La propuesta fue elaborada por la secretaría técnica de esta comisión, presidida por el fujimorista Gilmer Trujillo, quien convocó a una sesión extraordinaria para este martes."
7350415,"Sunat podrá acceder a información tributaria y financiera de más de 16.000 empresas radicadas en Perú-La Superintendencia Nacional de Aduanas y de Administración Tributaria (Sunat) informó este lunes que podrá acceder y revisar la información tributaria y financiera internacional de más de 16,000 empresas y 33,000 personas de alto patrimonio radicadas en el Perú, lo que fortalecerá la lucha contra la elusión y evasión tributaria en operaciones y movimientos financieros realizados en el exterior."
6700538,"APP no promueve nuevo intento de vacancia, señala congresista Meléndez-El parlamentario dijo, además, que en ninguna de las reuniones de la bancada con el presidente Martín Vizcarra se ha insinuado la postergación de las elecciones 2021."
9152772,"Vuelos internacionales: Vizcarra afirma que Consejo de Ministros evaluará ampliar nuevas rutas este miércoles-El Gobierno ya se prepara para autorizar la ampliación de nuevas rutas de los vuelos internacionales, los mismos que se reanudaron el pasado 5 de octubre. Según adelantó este lunes el presidente Martín Vizcarra, la medida será evaluada por el Consejo de Ministros en la próxima reunión que se llevará a cabo el miércoles."
8089614,"Accederán a información tributaria y financiera de más de 16,000 empresas en Perú-La Superintendencia Nacional de Aduanas y de Administración Tributaria (Sunat) informó este lunes que podrá acceder y revisar la información tributaria y financiera internacional de más de 16,000 empresas y 33,000 personas de alto patrimonio radicadas en el Perú, lo que fortalecerá la lucha contra la elusión y evasión tributaria en operaciones y movimientos financieros realizados en el exterior."
7151314,"La situación de Martín Vizcarra en el Parlamento se complica tras nueva denuncia-Aunque la mayoría de bancadas del Parlamento había, prácticamente, descartado respaldar una nueva moción de vacancia contra el presidente Martín Vizcarra, esta opción se ha reactivado en las últimas horas. Esto a raíz del testimonio de tres aspirantes a colaboradores eficaces que comprometen al mandatario en el presunto pago de un soborno de S/1′300.000 de parte de las empresas Ingenieros Civiles y Contratistas Generales S.A. (ICCGSA) e Incot."
8825547,"Reprogramación de deudas: Especialistas comentan detalles y precisiones de su reglamento-"
9408250,"Preparan modificaciones en hidrocarburos para promover la inversión en el sector-El ministro de Energía y Minas, Luis Incháustegui, señaló que se viene trabajando en un proyecto para modificar la Ley Orgánica de Hidrocarburos, así como en un nuevo reglamento de actividades de exploración y explotación de este sector."
3618395,"Teatros y casas de arte: ¿Cómo enfrentan la pandemia los directores y administradores del rubro? | CRÓNICA-Según datos que compartió la Red de Salas y Espacios Alternativos del Perú, se han cancelado 3.239 funciones en el país, que representan S/4,5 millones paralizados. En esta crónica, conversamos con directores de teatro y administradores del rubro para conocer más sobre el impacto de la pandemia en su sector."
4737067,"Líbero Sur: Binacional jugará frente a Sao Paulo por la Copa Libertadores-El Poderoso del Sur nuevamente podría caer goleado. Este martes, se enfrentará ante Sao Paulo a las 19:30 horas. Todo dependerá del planteamiento de juego que realice el entrenador Javier Arce."
176020,"Hipotecas para casas de playa y de campo aumentaron en agosto | INFORME-Impacto del coronavirus en las hipotecas | Crédito hipotecario promedio de la banca superó los S/630.000 en el octavo mes del año. Demanda de financiamiento para vivienda se recupera, pero futuro es incierto."
1446737,"Laceado constante del cabello puede causar mayor riesgo de cáncer de mama (VIDEO)-"Los laceados, que solemos hacernos las mujeres, aparentemente sí tienen un efecto deletéreo y pueden causar mayor riesgo de cáncer de mama, sobre todo si el uso es continuo”, explica Marcia Carrasco Collantes, mastóloga oncóloga de la Liga Contra el Cáncer"
2368340,"Universitario cerró el Torneo Apertura con victoria 3-2 contra Cusco FC-Con dos goles y una asistencia, Luis Urruti fue la figura de Universitario ante Cusco FC. El club crema recibió el trofeo del Torneo Apertura en el estadio San Marcos."
5499439,"El renacer de las playas del norte: cómo Máncora, Vichayito y Punta Sal han logrado un ‘boom’ de visitas por estos días-Playas | Turismo interno | Algunas semanas después del reinicio del turismo en esta zona del país, destinos como Máncora, Órganos y Vichayito, en Piura, o Zorritos y Punta Sal, en Tumbes, experimentan un ‘boom’ de visitas que incluye reservas hasta para Año Nuevo. Pero adolecen de algunos problemas."
1267229,"Congreso obstaculiza el plan de Perú para frenar la deuda pública, según Fitch-La presión sobre el Gobierno de Perú para que aumente el gasto en todo, desde pensiones hasta salarios del sector público, presenta el riesgo de socavar su plan para controlar la deuda, según Fitch Ratings."
84534,"Desde hoy se podrá solicitar reprogramación de deudas-Con reducción de tasas. Programa de Garantías Covid-19 estará vigente hasta fines de diciembre. De 4,9 millones de potenciales beneficiarios que estima el MEF, solo 2 millones de deudores accederían. Bancos tendrán 15 días para responder solicitudes."
304918,"Congreso aprobó proyecto de garantía soberana de $ 104 millones para Majes Siguas II-Los congresistas de Arequipa José Luis Ancalle, Edgar Alarcón y José Nuñez votaron en contra, mientras que a favor de la norma estuvieron Hipólito Chaiña, Rosario Paredes y Daniel Oseda."
7769230,"Vela sobre visitas de Vizcarra a Obrainsa: “Nos llama poderosamente la atención”-El coordinador del Equipo Especial, Rafael Vela, cuestionó que el presidente Martín Vizcarra haya ido a las oficinas de Obrainsa, empresa investigada por el caso Club de la Construcción."
6988159,"El costo de la verdad, por Patricia del Río-“Al estilo de los noventa, la fiscal interfiere en una investigación independiente”. Escribe Patricia del Río sobre Martín Vizcarra y el caso Obrainsa."
6116269,"El DT Marco Valencia dirigirá a Melgar en la Copa Sudamericana-La directiva no le ha confirmado su continuidad hasta fin de año. El entrenador dijo que siempre está dispuesto a colaborar con el club."
20349,"APP y PPC, la única alianza se rompió; una crónica de Fernando Vivas-La Alianza Para el Progreso del Perú, que así se llamó el pacto electoral entre APP y el PPC consagrado el 12 de octubre, se deshizo por una suma de factores y un detonante que, según fuentes ligadas a APP, tiene nombre y apellido, Carlos Neuhaus Tudela. Fuentes del PPC también me confirman el peso gravitante de Neuhaus ."
5519318,"Dólar cierra al alza y se vende en 3,591 soles-Pese a que hubo optimismo de los inversionistas en Estados Unidos para un consenso de un nuevo paquete de estímulos fiscales."
8757,"Majes Siguas II: Congreso aprobó dar garantía a Cobra para firmar adenda 13-Proyecto de ley debatido en el Pleno Agrario establece incrementar en 104 millones de dólares la garantía soberana a concesionaria."
9200325,"Walter Martos: Para evitar este tipo de “presiones” el presidente Vizcarra convocó a elecciones-El presidente del Consejo de Ministros, Walter Martos, dijo que no había conversado antes con Martín Vizcarra sobre la identidad de los políticos que le pidieron que postergue la fechas de las elecciones generales el 2021, pero señaló que sí sabía que había presiones para que actúe en ese sentido y que por eso las convocó a inicios de julio."
5305973,"Ricardo Gareca sorprendió a Óscar Ruggeri, quien superó el coronavirus y volvió a ESPN [VIDEO]-Durante el programa 90 minutos de fútbol de ESPN, Ricardo Gareca le envió un afectuoso saludo a su amigo Óscar Ruggeri, quien estuvo aislado 15 días."
